Year;total registered vehicles;registered cars;registered trucks;registered motorcycles;other registered vehicles;total street km;street km inside cities;street km outside cities without Autobahn;street km Autobahn;total population;population under 15;population 15-18;population 18-25;population 25-65;population over 65
1991;38236491;32087560;-;867875;1491694;226461;-;-;10854;79984000;13013000;2414000;8061000;44528000;11969000
1992;38236491;32087560;-;867875;1491694;226461;-;-;10854;79984000;13013000;2414000;8061000;44528000;11969000
1993;38236491;32087560;-;867875;1491694;226461;-;-;10854;79984000;13013000;2414000;8061000;44528000;11969000
1994;38236491;32087560;-;867875;1491694;226461;-;-;10854;79984000;13013000;2414000;8061000;44528000;11969000
1995;49152894;40404000;3097000;1652773;2267000;228604;51400;166100;11143;81661000;13264000;2620000;6605000;46537000;12634000
1996;49152894;40404000;3097000;1652773;2267000;228604;51400;166100;11143;81661000;13264000;2620000;6605000;46537000;12634000
1997;49152894;40404000;3097000;1652773;2267000;228604;51400;166100;11143;81661000;13264000;2620000;6605000;46537000;12634000
1998;49152894;40404000;3097000;1652773;2267000;228604;51400;166100;11143;81661000;13264000;2620000;6605000;46537000;12634000
1999;49152894;40404000;3097000;1652773;2267000;228604;51400;166100;11143;81661000;13264000;2620000;6605000;46537000;12634000
2000;53107377;42839906;3335482;1724945;3337848;230735;52206;167014;11515;82187614;12836220;2733698;6475576;46631598;13510522
2001;53107377;42839906;3335482;1724945;3337848;230735;52206;167014;11515;82187614;12836220;2733698;6475576;46631598;13510522
2002;54988453;44383323;3456000;1663861;3557360;230848;52118;166944;11786;82482309;12517392;2791853;6663456;46262335;14247273
2003;55239752;44657303;3411000;1566621;3656873;231581;52238;167306;12037;82520176;12287574;2856671;6710596;46020808;14644527
2004;55744934;45022926;3364000;1644118;3744971;231420;52123;167254;12044;82501274;12041588;2898148;6750792;45701900;15108846
2005;56305273;45375526;3341000;1764494;3827899;231500;52082;167211;12174;82464344;11786869;2905887;6778033;45378341;15615214
2006;56728496;45668108;3395604;1793209;3902512;231480;52003;167114;12363;82365810;11544265;2853965;6795403;45091465;16080712
2007;50919201;41019700;3425374;1911154;3475715;231359;51682;167146;12531;82262642;11361119;2744710;6809916;44940879;16406000
2008;51313882;40840000;3091000;3566000;1964000;231181;51240;167348;12594;82119776;11211517;2616984;6823690;44845094;16622491
2009;51796316;40978425;3105666;3658590;2171700;230999;51072;167282;12645;81874770;11077543;2501126;6811116;44675541;16809444
2010;52288623;41388803;3134099;3762561;2104204;230969;51321;166836;12813;81757471;10979480;2428993;6762652;44717191;16869155
2011;52945127;41951043;3192537;3827894;2042996;230782;51314;166649;12819;80209997;10803654;2328750;6520090;44039443;16518060
2012;53831338;42568510;3281965;3908072;2096161;230702;51009;166847;12845;80425823;10695345;2380653;6420743;44292004;16637090
2013;54479635;43058811;3325126;3982978;2088623;230517;50882;166753;12879;80645605;10628139;2421379;6312871;44525567;16757661
2014;55010923;43463222;3372186;4054946;2044104;230377;50875;166584;12917;80982500;10627906;2433975;6234410;44746736;16939486
2015;55751993;43991824;3443554;4145392;2036352;230147;50777;166423;12949;81686611;10783925;2434925;6280555;44992765;17194446
2016;56622801;44634317;3544498;4228238;2020360;230082;50251;166840;12993;82348669;10964848;2433123;6329249;45216510;17404950
2017;57554491;45333227;3658540;4314493;1986223;229970;50304;166674;12996;82657002;11110164;2394042;6320952;45222142;17609719
2018;56459008;45967099;3782385;4372978;-;229903;50543;166351;13009;82905782;11231288;2336501;6310415;45230961;17796624
2019;57305201;46542119;3903969;4438600;-;229826;50492;166193;13141;83092962;11341039;2296629;6282584;45185609;17987109
2020;58158344;47105300;4027114;4506410;-;229776;50445;166149;13183;83160871;11434530;2276394;6211077;45057714;18181161
2021;59020091;47552071;4156716;4661561;-;229721;50467;166062;13192;83155031;11477800;2266144;6161121;44978330;18271636
