"Year";"Baden-Württemberg";"Bayern";"Berlin";"Brandenburg";"Bremen";"Hamburg";"Hessen";"Mecklenburg-Vorpommern";"Niedersachsen";"Nordrhein-Westfalen";"Rheinland-Pfalz";"Saarland";"Sachsen";"Sachsen-Anhalt";"Schleswig-Holstein";"Thüringen"
1991;260268;336570;159545;60593;22490;62990;174576;43472;217411;524987;122794;33037;81310;67588;88164;55671
1992;252376;329935;169247;82446;22269;61317;171016;56997;219320;528810;117742;29028;109477;86578;79985;68036
1993;235869;327068;159785;91227;21219;56990;135639;63889;215470;524542;114978;26006;122309;99023;76383;74999
1994;193808;317146;160207;95863;20332;54538;124605;64649;203630;507788;110957;25731;137796;103590;75996;74182
1995;181269;316606;153161;102223;19329;53733;120379;64516;197946;502304;111274;27937;139298;103779;68654;75893
1996;185212;317962;154809;103892;18555;52507;125464;67437;204911;503618;113083;26508;143714;107619;66666;77613
1997;194017;307025;151588;101178;18648;53674;121376;67857;197204;502630;113943;25565;137895;101586;63156;75037
1998;205101;304304;142166;100079;19026;56155;124013;69064;193342;525915;115229;25780;138713;101995;61788;74979
1999;223997;343993;153385;104805;19305;57581;133091;72482;203326;558637;123818;27642;146024;104334;63939;77114
2000;223759;336139;148107;98702;19309;56517;133809;66607;197541;553297;124609;26116;137488;95839;59960;72428
2001;227589;348663;142078;97057;19705;56674;138456;65975;200109;561508;126417;27691;137182;93858;60271;70323
2002;222000;328883;135574;89783;19189;54926;135412;62838;196784;546239;123342;27300;128882;90825;60984;66513
2003;218150;330303;127986;85663;18419;54948;133146;61475;192806;545774;123657;28531;127752;87556;59792;63339
2004;223354;336444;124514;86771;18741;55711;129688;59660;189597;552424;122420;28827;126840;85743;60441;60514
2005;233542;339747;120356;85298;18166;56482;124937;58766;191102;543018;123920;28644;124146;84539;60908;60421
2006;234373;335527;119512;84675;19719;57517;128684;57474;184957;541034;122197;27799;122666;82324;57682;59178
2007;254645;346954;124085;84105;20305;61913;136439;58034;195941;574052;124508;30687;121793;81824;59645;60075
2008;255374;343801;123592;81255;19247;63720;132815;57734;189941;560465;126127;30330;116048;79072;56314;57828
2009;261970;341951;124674;82889;19555;62352;130172;58210;200005;561749;125074;30255;116333;79977;61067;57220
2010;275410;356866;130038;89629;20252;64269;133051;59874;202207;584542;131303;31426;122191;83895;66699;59619
2011;278627;350718;130010;80574;20505;66115;133208;55773;196128;578904;132080;30988;110410;76374;66317;54726
2012;287909;364373;130782;80854;21088;65690;133345;54909;211103;576709;133431;31831;110790;76455;67296;55278
2013;291548;372482;130930;81165;21656;64897;131603;54610;212629;573586;132481;31881;109315;76084;75034;54110
2014;294238;368972;132717;79286;21576;65734;130853;53059;202338;583258;131250;31696;105577;73076;79333;53722
2015;308543;391125;137733;80978;22395;67196;135597;56077;211087;610703;137441;33399;108653;74376;85346;56182
2016;314859;398100;141154;82612;22261;68477;141080;56971;215105;639987;142671;34700;109736;75213;85443;56958
2017;326417;404951;143442;85451;24098;67960;149917;58363;215276;653809;145860;34701;109623;75111;90105;58014
2018;324189;410252;144326;82462;24354;67528;146859;57477;210211;662244;144278;34303;107284;73503;90707;56491
2019;327894;416611;147330;83954;23980;68991;148930;60053;217705;679607;144819;35265;107501;75022;92209;55790
2020;269267;345411;126287;71893;20163;58201;122610;54459;183858;554466;123261;28836;93442;65605;79566;47920
2021;273482;359002;127627;72451;20003;59474;130236;54056;192041;580182;125722;30103;94529;66841;81475;47714
